block_id,hash,time,size,version,lock_time,is_coinbase,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,cdd_total
509229,aee6bc1c1484db88df4467731eb2fb8a3ec4624ac1e5b7ccf403d9968f1b3f49,12/20/17 02:13,225,1,0,0,1,2,1550000000,62839.4805,1540000000,62434.0625,10000000,405.416,44444400,1801.8489,0
509622,92c9c613ac69da70caeadc3a576492cb67514ac9a549873067947833d5db163b,12/22/17 22:21,373,2,509621,0,2,2,13503182,387.883,3503182,100.63,10000000,287.253,26809700,770.1153,0.019020009
509625,572dbfb757d5a1b3dac21b56ad6b959b17791925b387e36adbc0f2fcefd527bd,12/22/17 22:51,225,2,509575,0,1,2,30650000,880.4305,20650000,593.1774,10000000,287.253,44444400,1276.6801,0.044045185
509339,cf7d0b8730dcd8b462a4f856ad43a11cec9fb1f63ec6864895b5169739dc2181,12/20/17 18:15,62744,1,0,0,425,1,395642368,16039.9746,389242368,15780.5078,6400000,259.4662,102002,4.1353,5473.296515
509225,48a2724a5333c8486a6a82e4633184a0b4c2cd5a3cfc2a860e32d8cfdd475c5b,12/20/17 01:51,226,1,0,0,1,2,20751094,841.2825,14684494,595.3329,6066600,245.9497,26843400,1088.2728,0
509405,1bc4c7d191d8f6396e2cdc7a5e9f6925d5c507eae9ec15d0342e4b5c65cf60e8,12/21/17 05:05,17033,1,509404,0,115,2,1007702883,34901.5859,1001000023,34669.4336,6702860,232.1522,393522,13.6296,0.071417246
509086,4366d0bebb20ad80f5c660af54ab37a8b6c41b52c52ce4517f00daf67d0796e6,12/19/17 06:10,57603,2,0,0,390,2,1.38995E+11,3755324.75,1.38988E+11,3755132.75,7100000,191.825,123257,3.3301,2966.835444
509523,a37b915760085b4b28b7a6aaa31839dd435b14bdb5ae5ba8cb4c73305f885334,12/22/17 04:24,17490,1,509522,0,118,2,1007432437,28938.7988,1001000042,28754.0273,6432395,184.7725,367776,10.5645,0.02045515
509690,2a7fcea692b2fb106ef49a0720833f1088c68cd925de39bc7762b11441017312,12/23/17 08:22,13936,1,509689,0,94,2,1006142971,34745.9375,1001000121,34568.3359,5142850,177.6021,369033,12.7441,0.423205081
510059,ed2905f7b6d96c5c3b9e363766b0f264cdc4622a162d51e29b14564cdb6fc5d4,12/25/17 21:47,51663,1,0,0,350,1,18805953000,557340.75,18800107160,557167.5,5845840,173.2496,113153,3.3534,151056.5548
510059,609a893cacad482391509275ea2a417acd503af9d32264909a88e4ff76f779d8,12/25/17 21:47,51666,1,0,0,350,1,18389250000,544991.125,18383404160,544817.875,5845840,173.2496,113147,3.3533,147817.6236
510061,b6c357069478032460aad96c5f991d686c37aab4568bc847c3edd6c27215924c,12/25/17 21:55,51669,1,0,0,350,1,18733350000,555189.0625,18727504160,555015.8125,5845840,173.2496,113140,3.3531,150439.5408
510062,c1e25c6507d023e29bbcd90aedb8f0973911ca620002e5828ae612766d9b9d37,12/25/17 22:20,51664,1,0,0,350,1,19527750000,578732.1875,19521904160,578558.9375,5845840,173.2496,113151,3.3534,156983.8077
510062,88f49decb8a25061f3a3710b14a9ad820bb5efb3c9d66a6f8338fd0dc6bbb085,12/25/17 22:20,51663,1,0,0,350,1,19261977000,570855.625,19256131160,570682.375,5845840,173.2496,113153,3.3534,154809.6672
510062,ae78e59086a9283bcfe177a5f0787e63ba05ebf24b2316e8cc90ebd4c83ccbcb,12/25/17 22:20,51672,1,0,0,350,1,18822073029,557818.4375,18816227189,557645.1875,5845840,173.2496,113134,3.3529,151195.7842
510062,ae7df18891ef5b00ec9cfcd9e59306990279d647d049df4fd4c36525f47e2758,12/25/17 22:20,51693,1,0,0,350,1,18693495000,554007.875,18687649160,553834.625,5845840,173.2496,113088,3.3515,150262.8439
510062,03fed3f12a504895a37c84f3ae5cf72b529bb4f4a378f7575650fe0548b4303e,12/25/17 22:20,51663,1,0,0,350,1,18414943000,545752.625,18409097160,545579.375,5845840,173.2496,113153,3.3534,148033.4222
510062,90758832aba2f0a805cec43cde0205a3c2a3a71ca3e5f968e8add3315e57e5ef,12/25/17 22:20,51680,1,0,0,350,1,18064346000,535362.1875,18058500160,535188.9375,5845840,173.2496,113116,3.3524,145080.0246
510063,17d1f590ae135c46d0abe321314fb71d97ec86e0cba3cd0a66f2b4b1d2b4991f,12/25/17 22:55,51668,1,0,0,350,1,19475663000,577188.5,19469817160,577015.25,5845840,173.2496,113142,3.3531,156481.0325
510063,e5b8297a221762c3d08ad9083c727b06957e4ed37b1a4bed21cc5f9398e73295,12/25/17 22:55,51682,1,0,0,350,1,18810753000,557483,18804907160,557309.75,5845840,173.2496,113112,3.3522,151098.4572
509806,0d5ca50a80cf9b1560889214fa841e4f33eac79315c83c10f3a70a02e835aa83,12/24/17 04:28,15556,1,509805,0,105,2,1006734534,27654.7969,1001000019,27497.2695,5734515,157.526,368637,10.1264,0.19252685
509970,99c8ac4dc38d010e22ed586633c7e50855fede30ba9ea7823007067dcfcecebd,12/25/17 03:38,13951,1,509969,0,94,2,1006252023,29821.6855,1001000038,29666.0371,5251985,155.6499,376459,11.1569,0.179136909
509641,1699cba466da96614ad5b3819670d852bd5adf1352431af67fc00b0832e02ccc,12/23/17 01:26,12028,1,509639,0,81,2,1005499020,34723.6992,1001000030,34568.332,4498990,155.3672,374043,12.9171,0.184960751
510007,4b90581a066a3041bdc8106368f589781a8c62d7efefe2f5b33165469d8b63c7,12/25/17 12:06,11729,1,510006,0,79,2,1006197614,29820.0742,1001000014,29666.0352,5197600,154.0381,443141,13.1331,0.064135246
509726,fee09f21955804b65ca3bd99c3000fbf7fd99ce684b71f2e1cb9a28af1c41f7e,12/23/17 12:59,10546,1,509725,0,71,2,1005389856,34719.9297,1001000001,34568.332,4389855,151.5984,416258,14.375,0.606035733
509234,67ea0b9b9b1a2c2a49c84bf15f0a37ab2a7fdaa0ce04e96e7396abd52babc6dd,12/20/17 02:33,9965,1,509233,0,67,2,1004689102,40731.7031,1001000047,40582.1445,3689055,149.5602,370201,15.0085,0.050860055
509352,7f159289d114ae42a32e043ed75ffdd6ff1d9500c26939e00f32bf6637d27e75,12/20/17 20:22,10662,2,509330,0,72,1,3528438040,143048.5156,3525014040,142909.7031,3424000,138.8144,321140,13.0195,0
509409,367ab316619a9aa2e7fe35baf2fd1f7e039f783e20986b133e42c6bcc60fc521,12/21/17 05:57,10259,1,509408,0,69,2,1004959610,34806.5742,1001000090,34669.4375,3959520,137.1372,385956,13.3675,0
509365,0b05c57cd1197b1eb6608a413ff3379ba023bd4cebff137e77166a58e1bd39c6,12/20/17 22:40,9078,1,509364,0,61,2,1004366769,40718.6367,1001000009,40582.1406,3366760,136.4938,370870,15.0357,0.010301007
509233,9640b9dee8a6ae168112e9ad658f2555f4238ceed1c6bcd4ee9ce957cb2af747,12/20/17 02:28,16571,1,0,0,50,2,28232515820,1144591.375,28229190220,1144456.5,3325600,134.8251,200688,8.1362,432.6149127
509341,ed83a8076796d2df92b008ecd4b388577594c62af4b4004125d6d6a971a00191,12/20/17 18:28,7304,1,509340,0,49,2,1004312756,40716.4453,1001000016,40582.1406,3312740,134.3038,453551,18.3877,1.174439582
509462,f2cad210d77f5f8e3a87b4d3d95417581cb07771e5ce8902f3cf81e4809b2568,12/21/17 16:45,9960,1,509461,0,67,2,1004849657,34802.7656,1001000002,34669.4336,3849655,133.332,386512,13.3868,0
509372,5695244bae299f85251119a8cc88478461fc0075eb815b047fed2201533905c6,12/20/17 23:36,55017,1,0,0,370,1,1232098546,49951.2461,1228810186,49817.9297,3288360,133.3154,59769.9,2.4232,10827.33557
510006,dd1a0b15875257b4efb9becef1ecf7534b148da99f614f2dea9808b18a90301f,12/25/17 11:47,5389,1,510005,0,36,2,1005120129,29788.1406,1001000009,29666.0352,4120120,122.1055,764543,22.6583,0.027295711
510015,8d78402a480743f293d422f080f9c92bb4d5b69a343ece3ff970e557aa021838,12/25/17 13:19,9814,1,510014,0,66,2,1004956609,29783.2949,1001000009,29666.0352,3956600,117.2594,403159,11.9482,0.034680343
509398,28734f9a8978b7b7d3c45ac3f0b0cbf3b8c5e7f4760b0c7c5f3a2d54d597f232,12/21/17 04:12,16587,1,0,0,50,2,28727039880,994955.25,28723714280,994840.0625,3325600,115.1815,200494,6.9441,231.2620366
509452,63581366e0948d7b81f7f2b907a41a60c7c40063ccfc26779a112223a13ca5bc,12/21/17 14:22,8630,1,509451,0,58,2,1004201797,34780.3281,1001000017,34669.4336,3201780,110.893,371006,12.8497,0
509245,7913dcdc88d5ff252a75ec3a374a05de527c40ec84834be7766cc7ae2e0dee9c,12/20/17 04:08,7445,1,509244,0,50,2,1003722191,40692.5039,1001000021,40582.1406,2722170,110.3611,365637,14.8235,0.007809365
