Block_ID,Hash,Date,Time,Size,Input_total_usd,Output_total_usd,Fee_usd,,,,,,,,,,
transaction highest 1w outliers,,,,,,,,,,,,,,,,,
513671,c991a71bc3fbe2cd8ae6c06fc1fe0f50131a077c0a24c5c3f23af23e0564109d,1/19/18,1/19/18 22:14,91527,10870500,10870400,81.6352,,,,,,,,,,
511998,6324e1efdf9e6bf23457d9b4cb777098179dc054f984ab55814485e293f803b8,1/8/18,1/8/18 10:34,83113,77538500,77538400,100.644,,,,,,,,,,
503638,ab929ce3a80e0bda896f37a78186bd09a9632002c53f8a6dee247031945ce95e,11/12/17,11/12/17 12:02,20140,209640000,209640000,68.2855,,,,,,,,,,
,,,,,,,,,,,,,,,,,
fee highest 1w outliers,,,,,,,,,,,,,,,,,
505337,73cb545776004c48f8dda0790b40256d1e2f139981df0554e5b783163ab38512,11/22/17,11/22/17 21:51,192,10652.2,4561.58,6090.58,,,,,,,,,,
479539,58c888b113fa01142b1a58f99a230bcd23e9c922abf72d540a6005d58cf5e4f1,8/17/17,8/17/17 12:57,192,1607.64,0.0678945,1607.57,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
random,,,,,,,,,,,,,,,,,
481560,f1b8fb532cd6bb5860d467785996c5fd523044784fdcf7e9b8d41ea66f888042,8/22/17,8/22/17 13:29,66481,19333.8,19221.4,112.439,,,,,,,,,,
535749,efda07bc1db202cb513de39074c1e2c0359be388f02443c9cbe3a89f1ead46b4,6/22/18,6/22/18 5:19,23523,8810.66,8723.51,87.148,,,,,,,,,,
548645,ab7af7b95d272f5a5319c9f219b8458de4508cf318422299060506a859ede1b9,9/20/18,9/20/18 4:34,28890,2153190,2153170,19.1303,,,,,,,,,,
479304,474e3ad9102497e06dd6a52edb3685eafda07b5a451ba408166bf95e76e8a9ba,8/14/17,8/14/17 20:25,794,3299880,3299870,8.85081,,,,,,,,,,
481618,42da60a2fbd136aa4103dfcb890679687ebeefc06abb8833657d1add95859f81,8/22/17,8/22/17 14:54,4059,10329300,10329300,11.401,,,,,,,,,,
range,,,,,,,,,,,,,,,,,
block_id,hash,time,size,version,lock_time,is_coinbase,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,cdd_total
509229,aee6bc1c1484db88df4467731eb2fb8a3ec4624ac1e5b7ccf403d9968f1b3f49,12/20/17 2:13,225,1,0,0,1,2,1550000000,62839.4805,1540000000,62434.0625,10000000,405.416,44444400,1801.8489,0
509086,4366d0bebb20ad80f5c660af54ab37a8b6c41b52c52ce4517f00daf67d0796e6,12/19/17 6:10,57603,2,0,0,390,2,1.39E+11,3755324.75,1.39E+11,3755132.75,7100000,191.825,123257,3.3301,2966.835444
509222,8e02125f69453a5279d3232e850211dde2d43181b51b5d88dc1bbad25c9526b4,12/20/17 1:12,1112,1,0,0,7,2,6.62E+11,26839222,6.62E+11,26839186,884000,35.8388,794964,32.2291,83728.89094
