Block_ID,Hash,Date,Time,Size,Weight,Input_total_usd,Output_total_usd,Fee_usd
166727,f8d2b0ffc03531f84b7c5b51e7b60d22a7edc734e6bbbf15172dfac635d1f3ca,2012-02-14,2012-02-14 06:40:39,291,1164,970.703,968.033,2.67
166773,521f4729921c6e54687fe84eeff50bd996947fca9f3beed7c4503541fcfe47b5,2012-02-14,2012-02-14 14:05:27,27438,109752,487.115,485.513,1.602
166784,a9387cbd7391ad927d110be375927c55dea7e96a0991bb996e5bf6143c6eb725,2012-02-14,2012-02-14 15:40:30,21311,85244,535.335,534.053,1.2816
166827,730520f30534c2b923e09f1b4cf5b07d72de8bf3fc53e8ea7b374535cecdd832,2012-02-14,2012-02-14 23:30:01,3859,15436,849.124,801.054,48.0707
166836,1b072b801faef327d56e6059711f59af34957fe00f9828749878262abf69db29,2012-02-15,2012-02-15 01:54:47,1365,5460,287.9,286.843,1.0575
166889,cc8d8251f719ed90a73fc30089b82773187d9981c97b87d68e2451748af8bacb,2012-02-15,2012-02-15 11:50:05,17370,69480,14.9236,13.5136,1.41
166899,37ab334ffdc46440d3b80e560c8bdac2e85696e2223a1c418f55e71d3f9fc716,2012-02-15,2012-02-15 13:10:52,3140,12560,997.434,995.554,1.88
166966,d90df2bd61a04638bd0281fd618bca389c8a899bb0d2cd14d47e7ecf91c2c067,2012-02-16,2012-02-16 00:34:38,38930,155720,469.084,467.206,1.8778
166969,4eb27a59fbec0bf6e47d56bbcd33764761ae43894e162933cb8b0e6b98e74196,2012-02-16,2012-02-16 01:09:29,828,3312,755.759,753.469,2.29
166972,5840746b8b2bc1f2710e23a3b79bf2d9ec71cfa03db1d7ab48e748566aeba86d,2012-02-16,2012-02-16 01:33:03,1334,5336,457.614,444.283,13.331
167015,48c76c92511a9249c6569c6d344052ff4902b85d4aadf3b65a7dd13647b79455,2012-02-16,2012-02-16 07:35:37,96033,384132,1057.89,1053.45,4.4426
167045,5c1107092055b78b6fc5daadb997d31a11ffd37200ed3aa051d3af75b6f8579b,2012-02-16,2012-02-16 13:24:06,22349,89396,114.276,113.222,1.0534
167058,3df082af9c8cdc37264067b41815886398fd351c4e97a285662072a7dd4a6396,2012-02-16,2012-02-16 16:35:56,1007,4028,273.289,272.144,1.145
167246,952ebb63cef343f9a578e0595840f941a45d1c4af24d6bed44ca837aacb3aca4,2012-02-17,2012-02-17 23:17:41,799,3196,69.6872,68.6563,1.0309
167294,39146aebaccf61e5d31a7c058ac99eb7c0f89cc46bc647472a998ff3f2e2c02b,2012-02-18,2012-02-18 07:56:26,65072,260288,47.5883,44.6447,2.9436
167732,86f054bf8da21367d01a5e3231d38506a461c082eee8ef05be1c95fdc5bd9c0a,2012-02-21,2012-02-21 01:25:37,17901,71604,62.2288,61.0926,1.1362
168298,34d7cb197130d9ac97fb4eeb59598b3900294e744ad18bb8fe607ae679d24e13,2012-02-24,2012-02-24 19:29:49,1515,6060,6.31421,4.86821,1.446
168759,9da11ef915d9aad0c9d9bc3bf142766a07566fb71d08858f3bf71d6f8e9ac0bf,2012-02-27,2012-02-27 17:56:27,291,1164,891,888.525,2.475
168787,7e8eb27268ba2bbed3e17eaf4875b2e9083de639cf0a889208df55b7617551b9,2012-02-27,2012-02-27 22:02:07,2596,10384,181.117,173.314,7.80367
168911,f727884e2b67f4411f5c74ec52bfc5f472215fedbc3fab997a700723e9ef2d22,2012-02-28,2012-02-28 17:26:29,438,1752,103.481,101.962,1.51844
169156,362ab77a054618a9ee5efc5cd16790b31711b792cf228dd1ea517e148daa5380,2012-03-01,2012-03-01 03:05:57,9449,37796,161.518,159.108,2.41
169185,216efe87584538f09157da9dc68ae866a0defb1352ca63ebe272159ccdf91fb8,2012-03-01,2012-03-01 07:47:14,828,3312,212.583,211.547,1.0363
169234,79e7c21d2df84c92d048cf512cadc6c253934a66a8534dd9a3b1757c513ca494,2012-03-01,2012-03-01 15:01:23,1340,5360,63.383,60.973,2.41
169236,e8004ebfcb33846a34c2259cbeba32242092281525fd46f633ee468bc0e70c7e,2012-03-01,2012-03-01 15:14:40,50298,201192,26.6546,24.1482,2.5064
169238,7e0596ab1897eb9f87345f9be97e75e9dcd6426a00e3a000592a1052e0472f2f,2012-03-01,2012-03-01 15:27:01,64171,256684,27.3294,24.1482,3.1812
169255,609edeaa7bba7895e586637b284b76536584740ce109154595becae33b6adb74,2012-03-01,2012-03-01 17:36:39,59487,237948,22.7351,19.8431,2.892
169346,64fc0b09a03d63064a5401fb16ad1d35c5fc5adaf95776e9c5fa66a4f9929c41,2012-03-02,2012-03-02 08:55:28,438,1752,149.331,147.855,1.476
169534,b4c8a96ff022a5135962797f1039f8ac441bf34ff91e82c032d073d80014a39b,2012-03-04,2012-03-04 00:12:44,2058,8232,9781.65,9777.45,4.203
169625,68849d84012404edb40b6931841ddad5b01a1df35724d8210bc7659451ac9b14,2012-03-04,2012-03-04 16:03:22,1365,5460,30975.3,30973,2.335
