block_id,hash,time,size,weight,version,lock_time,is_coinbase,has_witness,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,fee_per_kwu,fee_per_kwu_usd,cdd_total
500440,04325699f385adb23e457370cce7ca8beaf151d530fb4d71e02d8464226a232b,12/21/17 20:49,76174,304696,1,0,0,0,488,125,29841213746,5016692.5,29741967577,5000008,99246169,16684.5605,1302890,219.0323,325722,54.7581,3091.706606
500504,5ff6c58e397febb13528fb55e4f8c9760ad471bb17ef5c3190e7aecceb55d091,12/22/17 06:59,70879,283516,1,0,0,0,457,104,27663005264,4494422,27561619420,4477950,101385844,16472.209,1430409.9,232.3989,357602,58.0998,1974.471736
500463,83cd07876d3507be57a68a9d3dd598d998ec783642c687b8f3defd7bf03f86fd,12/22/17 00:44,99441,375012,2,500462,0,1,659,2,601000000,97644.7656,501000000,81397.7188,100000000,16247.0498,1005620,163.3837,266658,43.3241,17.30524596
500473,65f1f6833858ab51dc752ed7c0280267e49800b37a3f3fd15c368ef0bcd2e8cc,12/22/17 02:06,101230,373496,2,500472,0,1,667,1,599675000,97429.4922,499675000,81182.4453,100000000,16247.0498,987849,160.4963,267740,43.4999,22.77234827
500499,5c2b9a28558645f83d9e259ee389d01790c9e057da992bbb64180a5d6ea7d101,12/22/17 06:16,100410,387788,2,500498,0,1,670,1,600000000,97482.2969,500000000,81235.25,100000000,16247.0498,995917,161.8071,257873,41.8968,15.90467264
500523,d7776c08a555d276a63a7820fe83e32b7e03b229f1c4cfd17f67a244f92f585d,12/22/17 10:44,85431,331700,2,500521,0,1,571,1,500000000,81235.25,400000000,64988.1992,100000000,16247.0498,1170540.1,190.1774,301477,48.9811,16.30427134
500546,e15304ea8be11dfedb17e4acb2bcf94947bfeef1a9582cd7b6a8dc24372de160,12/22/17 15:06,73388,293552,2,500545,0,0,497,2,2601000000,422585.75,2501000000,406338.7188,100000000,16247.0498,1362619.9,221.3857,340655,55.3464,3.50384012
500580,d4d92069d22a2207e6f0e75613b9aadc64a4a20bf3e0916f4e4332f1d5fed703,12/22/17 18:52,68969,275876,1,0,0,0,441,110,69969821975,11368032,69871461775,11352051,98360200,15980.6309,1426150,231.7075,356538,57.9269,38.73060901
500431,3cfcb820dc47ab2c04aa1f62d18c4993690e8eeca38cd65a432d265ad2c62d63,12/21/17 18:17,78234,312936,1,0,0,0,488,182,58511263831,9836498,58419117318,9821007,92146513,15491.0166,1177830.1,198.0087,294458,49.5022,1986.192811
500521,53545e53b09253c3c1abf81c7f4de493fc9badecc289ec8e9ffb7008f022b235,12/22/17 10:20,65501,262004,1,0,0,0,416,123,23600000000,3834303.75,23506560141,3819122.5,93439859,15181.2207,1426540,231.7708,356635,57.9427,2501.964171
500439,40481ff9034200c26f27120c273696e1bcc394d21a60835cc0ea3c4b037740f8,12/21/17 20:17,68017,272068,1,0,0,0,423,167,23284523581,3914428.5,23196361746,3899607.5,88161835,14821.1406,1296170.1,217.9036,324043,54.4758,2609.52586
500870,cedc11e4219916ef29e0238d68cedf47fe85b7172c278f984fa7e270507484d0,12/24/17 17:42,78120,183856,2,500863,0,1,464,1,1100000000,162974.3438,1000000000,148158.5,100000000,14815.8496,1280080.1,189.655,543904,80.584,33.48986527
500870,149e4a67cb3b19303a9c5a71bf31f3382b28d7fc8c82fe006cfabf9c18b1d451,12/24/17 17:42,76954,252988,2,500869,0,1,492,1,600000000,88895.0938,500000000,74079.25,100000000,14815.8496,1299480,192.5287,395276,58.5635,18.4999972
500870,9badeabe9802cf02dc7a801fa2d725b3f554efc28a961036408dda0ea2b888a6,12/24/17 17:42,131712,279552,2,500869,0,1,768,1,2600000000,385212.0938,2500000000,370396.25,100000000,14815.8496,759232,112.4867,357715,52.9985,79.96383007
500870,6aca8408986e2b0267e992c85f3205328af693014d0c66429977217f0d13d09d,12/24/17 17:42,97490,282680,2,500869,0,1,605,1,900000000,133342.6406,800000000,118526.7969,100000000,14815.8496,1025749.94,151.973,353757,52.4121,28.17670579
500870,10d9f90fc82dad634b0439fe2c624f102fa31f02a468f19f7bcc660a1ba3795e,12/24/17 17:42,91903,331612,2,500808,0,1,602,1,600000000,88895.0938,500000000,74079.25,100000000,14815.8496,1088100.1,161.2119,301557,44.6782,19.02778283
500870,bb4213f5d51d3079b97267266f4987cca1a0546b641b2991b69ebfe952bee35f,12/24/17 17:42,98790,370520,2,500869,0,1,654,1,600000000,88895.0938,500000000,74079.25,100000000,14815.8496,1012249.94,149.9731,269891,39.9866,18.9396666
500870,2370580b914f5cdd619e886cd9195912102031f5e5a26bc39de9e2ca18dcb358,12/24/17 17:42,158623,376072,2,500869,0,1,944,1,2100000000,311132.8438,2000000000,296317,100000000,14815.8496,630426,93.403,265907,39.3964,66.94249464
500870,fba844d0d97400bca1fcf08f6f4fa0c5d8bf1a647f82dae42b63bfb2550718c0,12/24/17 17:42,101909,387380,2,500830,0,1,677,1,600000000,88895.0938,500000000,74079.25,100000000,14815.8496,981268,145.3832,258144,38.2462,17.99465315
500439,a00a0cc65bcc13f8b449ecc3037ccb655b0d440fb9e814c989d125d42d96d39c,12/21/17 20:17,66981,267924,1,0,0,0,413,180,22091361470,3713842.75,22004666550,3699268,86694920,14574.5332,1294320.1,217.592,323580,54.398,2483.885488
