Block_ID,Hash,Date,Time,Size,Input_total_usd,Output_total_usd,Fee_usd,,,,,,,,,,,,,,
transaction highest 1w outliers,,,,,,,,,,,,,,,,,,,,,
812967,9b5066b60bca5349f5fb72118631a61b029d50e73362e11754b7dbd7c872fb24,1/30/18,1/30/18 19:57,34454,1561420,1561280,133.962,,,,,,,,,,,,,,
834080,0549d2fbdac8261a0c2f0b9822e6c7c299a8777f7841a1af0fdd1ed1e3fe0fc7,3/10/18,3/10/18 7:53,1403,1470330,1470270,59.3145,,,,,,,,,,,,,,
800963,60822e1c01bf5abaf3bbf35cf4b0297ec5423ff1ce6203f748e77667593df96f,1/8/18,1/8/18 22:26,53429,1456990,1456940,45.8448,,,,,,,,,,,,,,
826199,b97086aa7a43c7315218baf3ed66cc9ec93023b90eeeae1177aee426d6c19cc0,2/23/18,2/23/18 23:01,2179,11390600,11390500,28.7918,,,,,,,,,,,,,,
fee highest 1w outliers,,,,,,,,,,,,,,,,,,,,,
1121594,b59674dc1ff00d8157370cbbf6f825f335b7479b7036b8e2ca61500019914d7f,8/16/19,8/16/19 14:04,817,7575.55,1419.71,6155.84,,,,,,,,,,,,,,
1117519,e94113ed0b5a6d1122c300da785fe5677113260ec2404d19b00a21f27152f867,8/9/19,8/9/19 3:43,964,6631.25,1944.73,4686.52,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
random,,,,,,,,,,,,,,,,,,,,,
155350,123d59352fa3b428779499f2af428a09a4adbc1cf1c8f0e92ebeed46e1260946,10/19/14,10/19/14 18:37,828,936.776,24.7763,912,,,,,,,,,,,,,,
range,,,,,,,,,,,,,,,,,,,,,
block_id,hash,time,size,type,version,lock_time,is_instant_lock,is_coinbase,is_special,special_json,input_count,output_count,input_total,input_total_usd,output_total,output_total_usd,fee,fee_usd,fee_per_kb,fee_per_kb_usd,cdd_total
789653,2375e38787394bce3c4ecefba92dcc14be814b46fc8e363e558927cd74d6159b,12/19/17 7:03,25562,simple,1,0,0,0,0,\N,173,1,1122193911,12458.1484,1096193911,12169.5068,26000000,288.6416,1017130,11.2918,0.744299097
792039,3f4e2055697255cd46cf5f0f0a46db2b9e0fef0bc114879d68702d98bc6ac6ee,12/23/17 15:32,25742,simple,1,792038,0,0,0,\N,174,2,1021000704,14721.8096,1001000704,14433.4297,20000000,288.38,776940,11.2027,3.96969181
,,,,,,,,,,,,,,,,,,,,,
